Metric,Parameter,ST_Initial,ST_Final,Delta_ST
LVEDV,E.RA.EA,0.00716747767844177,0.0122165199770569,0.00504904229861509
LVEDV,R.PCOX,0.0106532591687916,0.0106370445327068,-1.62146360848173e-05
LVEDV,R.SC,0.00091736823173121,0.0105736895479549,0.00965632131622372
LVEDV,E.LA.EA,0.007445578438387,0.00714144321400695,-0.000304135224380052
LVEDV,V0.RV,0.0060064051619917,0.00534073713150996,-0.000665668030481733
LVEDV,V0.LA,0.00460340526062562,0.00510464878673282,0.000501243526107204
LVEDV,R.PAR,0.00190865667609112,0.00505082483793389,0.00314216816184277
LVEDV,V0.LV,0.00437578937178354,0.00336708717837592,-0.00100870219340762
LVEDV,V0.RA,0.00389408731746823,0.00322038585554646,-0.000673701461921765
LVEDV,R.PVEN,0.00530779268511133,0.00311746851577829,-0.00219032416933304
LVEDV,vsd.Cd,0.000944429842302481,0.00183673892468223,0.000892309082379749
LVEDV,R.SAR,0,0,0
LVEDV,C.PAR,0,0,0
LVEDV,E.RV.EA,0,0,0
LVEF,E.LV.EA,0.605409807820874,0.511201982486611,-0.0942078253342626
LVEF,R.SC,0.33961060129087,0.455815479288891,0.116204877998021
LVEF,C.SVEN,0.00432054914278632,0.0116054284162119,0.00728487927342559
LVEF,R.SVEN,0.0171849648713194,0.00737915112141121,-0.0098058137499082
LVEF,C.SAR,0.0127493846138028,0.00595233609296314,-0.00679704852083969
LVEF,V0.LV,0.00827081737901222,0.0036404050907711,-0.00463041228824111
LVEF,E.RV.EB,0.00232275154406485,0.00232276087557264,9.3315077930381e-09
LVEF,R.SAR,0.0073010076374279,0.0018084542687317,-0.00549255336869621
LVEF,E.RA.EA,0.00101141980693531,0.00128586489341103,0.000274445086475719
LVEF,C.PVEN,0.00276767374671296,0.000821426734395068,-0.00194624701231789
LVEF,vsd.Cd,0.000855496633972021,0.000725942610185316,-0.000129554023786705
LVEF,V0.RV,1.14874275153308e-05,0.000690372995816506,0.000678885568301175
LVEF,E.LV.EB,0.000993271626363606,0.000590629420462971,-0.000402642205900635
LVEF,V0.RA,0.00204016824498198,0.000551800913615991,-0.00148836733136599
LVEF,E.RV.EA,0.0009104779334795,0.000386887476382023,-0.000523590457097477
LVEF,C.PAR,0.000132110951307341,0.000297478882187373,0.000165367930880032
LVEF,E.LA.EA,0,6.41356446677328e-05,6.41356446677328e-05
LVEF,R.PCOX,0.00154472618651987,4.73979316807981e-05,-0.00149732825483907
LVEF,V0.LA,0.000511576105780714,0,-0.000511576105780714
LVEF,R.PVEN,0.000505561916396892,0,-0.000505561916396892
LVEF,R.PAR,0.000307720330648316,0,-0.000307720330648316
LVESV,E.LV.EA,0.54217992243972,0.568414072905597,0.0262341504658765
LVESV,R.SC,0.173408760077355,0.24910566503867,0.0756969049613151
LVESV,C.SVEN,0.0661835687208687,0.06807926565697,0.00189569693610138
LVESV,C.PVEN,0.116029592597602,0.0495305031075671,-0.066499089490035
LVESV,C.SAR,0.0209798917438512,0.0261083242169237,0.0051284324730725
LVESV,E.LV.EB,0.0799330921939096,0.020610328074039,-0.0593227641198706
LVESV,R.SVEN,0.0164456586887834,0.0177517372156891,0.00130607852690575
LVESV,E.LA.EA,0.00202051617441657,0.00745654179673623,0.00543602562231966
LVESV,V0.LV,0.0118557387953818,0.00634580799306866,-0.00550993080231314
LVESV,E.RV.EB,0,0.00459980728787533,0.00459980728787533
LVESV,vsd.Cd,0.00106408542951844,0.00424816839182004,0.0031840829623016
LVESV,E.RA.EA,0.00313812615057829,0.00396996157972575,0.000831835429147463
LVESV,R.SAR,0.00531420511033764,0.00311448797997647,-0.00219971713036117
LVESV,V0.RA,0.000847408201332622,0.00247368844919339,0.00162628024786077
LVESV,R.PCOX,0.00418225713178083,0.00234545143788866,-0.00183680569389217
LVESV,E.RV.EA,0.00167692667524127,0.00234545143788866,0.000668524762647395
LVESV,V0.LA,0.000297269982125671,0.000380906686465757,8.36367043400867e-05
LVESV,V0.RV,0.00061974544246957,0,-0.00061974544246957
LVESV,R.PAR,0,0,0
LVESV,R.PVEN,0,0,0
LVESV,C.PAR,0,0,0
LVP_max,R.SC,0.338996113210996,0.562594077482355,0.223597964271359
LVP_max,C.SVEN,0.153187670488046,0.154979292746051,0.00179162225800433
LVP_max,C.SAR,0.0805596164187832,0.112656576007536,0.0320969595887532
LVP_max,C.PVEN,0.213344048048192,0.0728370086259319,-0.14050703942226
LVP_max,E.LV.EB,0.135626714114352,0.0530661678522969,-0.0825605462620548
LVP_max,R.SVEN,0.0313959722493575,0.0270837754950826,-0.00431219675427497
LVP_max,E.LV.EA,0.0353525594039842,0.0181698159802051,-0.0171827434237791
LVP_max,R.PVEN,0.0105893870045313,0.00980262800044471,-0.000786759004086634
LVP_max,E.RV.EB,0,0.00750549304676155,0.00750549304676155
LVP_max,E.RV.EA,0.00637867892682375,0.0057669759014398,-0.000611703025383949
LVP_max,E.RA.EA,0.0094142705746592,0.00332811169190437,-0.00608615888275483
LVP_max,V0.RA,0.00219077575826259,0.00244623231902883,0.000255456560766242
LVP_max,R.SAR,0.00885368212396991,0.0023390774425007,-0.0065146046814692
LVP_max,E.LA.EA,0.00233605611466156,0.00195161209004562,-0.000384444024615933
LVP_max,R.PCOX,0,0.00136902944861401,0.00136902944861401
LVP_max,vsd.Cd,0.00155089105539943,0.000582582641431618,-0.000968308413967813
LVP_max,R.PAR,0,0,0
LVP_max,C.PAR,0,0,0
LVP_max,V0.LV,0,0,0
LVP_max,V0.RV,0,0,0
LVP_max,V0.LA,0,0,0
LVP_mean,R.SC,0.313312637884568,0.533786992522739,0.220474354638172
LVP_mean,C.SVEN,0.186156108413072,0.191273868955985,0.00511776054291357
LVP_mean,C.SAR,0.0698552831650533,0.101966030161777,0.0321107469967235
LVP_mean,C.PVEN,0.256558550016222,0.0851354853414609,-0.171423064674761
LVP_mean,R.SVEN,0.0467823581171617,0.0333654269333461,-0.0134169311838156
LVP_mean,E.LV.EA,0.044853256441734,0.0305587467605316,-0.0142945096812024
LVP_mean,E.LV.EB,0.0675028746918469,0.0249404342984877,-0.0425624403933592
LVP_mean,R.PVEN,0.00807570966880734,0.0124432027535428,0.00436749308473545
LVP_mean,E.RV.EB,0.0073531753302919,0.00910232415513565,0.00174914882484375
LVP_mean,E.RV.EA,0.00479416330684204,0.00521315136681846,0.000418988059976421
LVP_mean,E.RA.EA,0.00420203075849149,0.0031881472335798,-0.00101388352491168
LVP_mean,E.LA.EA,0.00401361168114468,0.00104673186728545,-0.00296687981385923
LVP_mean,R.PCOX,0.00549353122298361,0.000602487479804682,-0.00489104374317893
LVP_mean,vsd.Cd,0.000672278188838056,0.000444244387480772,-0.000228033801357284
LVP_mean,R.SAR,0.00595266716356731,0,-0.00595266716356731
LVP_mean,V0.RV,0.00464867252797734,0,-0.00464867252797734
LVP_mean,V0.RA,0.00177658228837283,0,-0.00177658228837283
LVP_mean,C.PAR,0.000880396460405673,0,-0.000880396460405673
LVP_mean,V0.LA,0.000880396460405673,0,-0.000880396460405673
LVP_mean,V0.LV,8.32598008848315e-05,0,-8.32598008848315e-05
LVP_mean,R.PAR,0,0,0
LVP_min,E.LV.EB,0.53828147814799,0.570783330992229,0.0325018528442386
LVP_min,E.LV.EA,0.186562803264885,0.224099385565085,0.0375365823001999
LVP_min,C.SVEN,0.0896371146318974,0.100116096945207,0.0104789823133094
LVP_min,C.PVEN,0.142567515931275,0.0401024511702224,-0.102465064761053
LVP_min,R.SC,0.0222265123124341,0.0348847464115587,0.0126582340991246
LVP_min,R.SVEN,0.0300713855843954,0.0261950497117434,-0.00387633587265205
