Metric,Parameter,ST_Initial,ST_Final,Delta_ST
PVP_mean,C.PAR,0.125777976944458,0.00854959976658549,-0.117228377177872
PVP_mean,E.LA.EA,0.00517983432921959,0.00405282025770944,-0.00112701407151015
PVP_mean,E.RV.EB,0.00737268074830956,0.00370669159415507,-0.00366598915415448
PVP_mean,E.RV.EA,0.0057403967903834,0.00346924809970383,-0.00227114869067957
PVP_mean,R.PCOX,0.0358450269861808,0.00313490351549944,-0.0327101234706814
PVP_mean,V0.LV,0.00202499231627169,0.00086183825185707,-0.00116315406441462
PVP_mean,vsd.Cd,0.00138019259837478,0.000748970566608333,-0.000631222031766449
PVP_mean,R.PAR,0.00280733630298551,3.82519821166194e-05,-0.00276908432086889
PVP_mean,E.RA.EA,0.00141616563159171,0,-0.00141616563159171
PVP_mean,V0.RA,3.59730332169301e-05,0,-3.59730332169301e-05
PVP_mean,R.SAR,0,0,0
PVP_mean,V0.RV,0,0,0
PVP_mean,V0.LA,0,0,0
PVR,R.PCOX,0.849908479250373,0.854552377319436,0.00464389806906274
PVR,R.PVEN,0.116787548944726,0.110554802679529,-0.00623274626519739
PVR,R.PAR,0.0285266326188329,0.0230533536685091,-0.00547327895032374
PVR,C.PVEN,0.000668599068712419,0.00689413437530294,0.00622553530659052
PVR,E.LV.EB,0.000775423015552272,0.00344570100945298,0.00267027799390071
PVR,C.SVEN,0.000693397827562207,0.00133004521539786,0.000636647387835656
PVR,R.SVEN,0.000501161144551325,0.00110733139242745,0.000606170247876123
PVR,C.SAR,0.000685934379616902,0.000688027116914503,2.09273729760088e-06
PVR,V0.LV,0.000120027090787166,0.000312404306603818,0.000192377215816652
PVR,V0.RA,8.33348798024683e-05,0.000268429774182638,0.00018509489438017
PVR,R.SC,0.000232523676119668,0.000248245771373085,1.5722095253417e-05
PVR,E.RV.EB,1.24008799523799e-05,0.00023603464977511,0.00022363376982273
PVR,V0.RV,0.000114094617954757,0.000195142068563875,8.10474506091171e-05
PVR,V0.LA,2.34586634129914e-05,0.000151574964359108,0.000128116300946117
PVR,E.RA.EA,5.84854372347508e-05,0.000108829183194263,5.03437459595127e-05
PVR,E.LV.EA,0.000207995536849875,6.37042747770915e-05,-0.000144291262072783
PVR,vsd.Cd,1.10000476377265e-05,6.91277031065302e-06,-4.08727732707351e-06
PVR,C.PAR,0.00171969460140756,0,-0.00171969460140756
PVR,R.SAR,0.000124721389475613,0,-0.000124721389475613
PVR,E.LA.EA,6.52430131466408e-05,0,-6.52430131466408e-05
PVR,E.RV.EA,0,0,0
QpQs,R.SC,0.725073793981305,0.55210371459569,-0.172970079385615
QpQs,C.PVEN,0.0117683425660152,0.209369910860355,0.19760156829434
