Parameter,Adult_Baseline,Demographic_Scaled,PreOp_Calibrated,PostOp_Baseline,PostOp_Calibrated,PctChange_Adult_to_Scaled,PctChange_Scaled_to_PreCal,PctChange_PostBase_to_PostCal
R.PAR,0.01,0.0280233659273984,0.0126105146669562,0.0126105146669562,0.0173669693551075,180.233659273984,-55.0000000013312,37.7181646726498
R.PCNO,1.264,3.54215345322316,3.54215345311838,3.54215345311838,3.54215345311838,180.233659273984,-2.95819304912368e-09,0
R.PCOX,0.063,0.17654720534261,0.0794462424018243,0.0794462424018243,0.109411906937177,180.233659273984,-55.0000000013312,37.7181646726498
R.PVEN,0.02,0.0560467318547968,0.0252210293339125,0.0252210293339125,0.0347339387102149,180.233659273984,-55.0000000013312,37.7181646726498
R.SAR,0.05,0.140116720881991,0.0641709828581007,0.140116720877846,0.092697252733295,180.233441763981,-54.2017666027548,-33.8428332089581
R.SC,0.8,2.24186753411185,1.02673572572961,1.02673572572961,1.48315604373272,180.233441763981,-54.2017666027548,44.4535342995658
R.SVEN,0.05,0.140116720881991,0.17210262897,0.140116720877846,0.0762810016263978,180.233441763981,22.8280449946788,-45.5589588819311
R.vsd,1000000,1000000,3.11746987951807,1000000,1000000,0,-99.999688253012,0
Rvalve.closed,94168,94168,94168,94168,94168,0,0,0
Rvalve.open,0.004,0.0112093463709594,0.0112093463706278,0.0112093463706278,0.0112093463706278,180.233659273984,-2.95819324501847e-09,0
Tc_LA,NaN,0.0569387972035838,0.0504201680672269,0.0504201680672269,0.0555555555555556,NaN,-11.4484840855519,10.1851851851852
Tc_LA_frac,0.1,0.1,0.1,0.1,0.1,0,0,0
Tc_LV,NaN,0.150887812589497,0.133613445378151,0.133613445378151,0.147222222222222,NaN,-11.4484840855518,10.1851851851852
Tc_LV_frac,0.265,0.265,0.265,0.265,0.265,0,0,0
Tc_RA,NaN,0.0569387972035838,0.0504201680672269,0.0504201680672269,0.0555555555555556,NaN,-11.4484840855519,10.1851851851852
Tc_RA_frac,0.1,0.1,0.1,0.1,0.1,0,0,0
Tc_RV,NaN,0.170816391610751,0.151260504201681,0.151260504201681,0.166666666666667,NaN,-11.4484840855518,10.1851851851852
Tc_RV_frac,0.3,0.3,0.3,0.3,0.3,0,0,0
Tr_LA,NaN,0.455510377628671,0.403361344537815,0.403361344537815,0.444444444444444,NaN,-11.4484840855519,10.1851851851852
Tr_LA_frac,0.8,0.8,0.8,0.8,0.8,0,0,0
Tr_LV,NaN,0.227755188814335,0.201680672268908,0.201680672268908,0.222222222222222,NaN,-11.4484840855519,10.1851851851852
Tr_LV_frac,0.4,0.4,0.4,0.4,0.4,0,0,0
Tr_RA,NaN,0.398571580425087,0.352941176470588,0.352941176470588,0.388888888888889,NaN,-11.4484840855518,10.1851851851852
Tr_RA_frac,0.7,0.7,0.7,0.7,0.7,0,0,0
Tr_RV,NaN,0.227755188814335,0.201680672268908,0.201680672268908,0.222222222222222,NaN,-11.4484840855519,10.1851851851852
Tr_RV_frac,0.4,0.4,0.4,0.4,0.4,0,0,0
V0.LA,2.3085,0.823776846072221,0.82377684609659,0.82377684609659,0.82377684609659,-64.3154929143504,2.95819813551496e-09,0
V0.LV,3.5385,1.26269628322571,1.42789625539,1.42789625539,0.949426582661686,-64.3154929143504,13.0831122542205,-33.5087140205175
V0.PAR,196,69.9416338878732,69.9416338899422,69.9416338899422,69.9416338899422,-64.3154929143504,2.95818220927941e-09,0
V0.PCNO,0,0,0,0,0,NaN,NaN,NaN
V0.PCOX,0,0,0,0,0,NaN,NaN,NaN
V0.PVEN,0,0,0,0,0,NaN,NaN,NaN
V0.RA,3.5385,1.26269628322571,1.26269628326306,1.26269628326306,1.26269628326306,-64.3154929143504,2.95817672277267e-09,0
V0.RV,8.4067,2.9998894571693,3.03618578162,3.03618578162,2.53372744674744,-64.3154929143504,1.2099220644265,-16.5489983489897
V0.SAR,90.9,32.4372169408555,32.437216941815,32.437216941815,32.437216941815,-64.3154929143504,2.95818361746888e-09,0
V0.SC,49,17.4854084719683,17.4854084724855,17.4854084724855,17.4854084724855,-64.3154929143504,2.95818220927941e-09,0
V0.SVEN,450,658.50797779264,421.175303754949,421.175303754949,421.175303754949,46.3351061761423,-36.040971718102,0
calibration.invalid_penalty_scale,1000,1000,1000,1000,1000,0,0,0
calibration.primary_target_pct,5,5,5,5,5,0,0,0
calibration.secondary_lambda,1,1,1,1,1,0,0,0
calibration.secondary_target_pct,10,10,10,10,10,0,0,0
epsilon_valve,0.5,0.5,0.5,0.5,0.5,0,0,0
epsilon_vsd,0.1,0.1,0.1,0.1,0.1,0,0,0
maturation.age_days,NaN,1157.8425,1157.8425,1157.8425,1157.8425,NaN,0,0
maturation.pvr_factor,NaN,1,1,1,1,NaN,0,0
maturation.pvr_reference_age_days,NaN,1157.8425,1157.8425,1157.8425,1157.8425,NaN,0,0
maturation.svr_factor,NaN,0.999999223826276,0.999999223826276,0.999999223826276,0.999999223826276,NaN,0,0
scaling.BSA_patient,NaN,0.617341972581738,0.6173419726,0.6173419726,0.6173419726,NaN,2.95819341069405e-09,0
scaling.BSA_ref,NaN,1.73,1.73,1.73,1.73,NaN,0,0
scaling.BV_patient,NaN,980,980,980,980,NaN,0,0
scaling.V0_SVEN_applied,NaN,658.50797779264,554.438975481363,658.507977782704,658.507977782704,NaN,-15.8037572544106,0
scaling.V0_SVEN_required,NaN,658.50797779264,554.438975481363,658.507977782704,658.507977782704,NaN,-15.8037572544106,0
scaling.age_days,NaN,1157.8425,1157.8425,1157.8425,1157.8425,NaN,0,0
scaling.s,NaN,0.356845070856496,0.356845070867052,0.356845070867052,0.356845070867052,NaN,2.95819332077444e-09,0
t_ac_LA,NaN,0.427040979026879,0.378151260504202,0.378151260504202,0.416666666666667,NaN,-11.4484840855518,10.1851851851852
t_ac_LA_frac,0.75,0.75,0.75,0.75,0.75,0,0,0
t_ac_RA,NaN,0.455510377628671,0.403361344537815,0.403361344537815,0.444444444444444,NaN,-11.4484840855519,10.1851851851852
t_ac_RA_frac,0.8,0.8,0.8,0.8,0.8,0,0,0
t_ar_LA,NaN,0.483979776230463,0.428571428571429,0.428571428571429,0.472222222222222,NaN,-11.4484840855519,10.1851851851852
t_ar_RA,NaN,0.512449174832254,0.453781512605042,0.453781512605042,0.5,NaN,-11.4484840855519,10.1851851851852
vsd.Cd,0.7,0.7,0.522701404320803,0.7,0.7,0,-25.3283708113139,0
vsd.area_mm2,0,0,7.18688406893877,0,0,NaN,Inf,NaN
vsd.diameter_mm,0,0,3.025,0,0,NaN,Inf,NaN
vsd.reference_gradient_mmHg,20,20,20,20,20,0,0,0
vsd.reverse_leak_fraction,0.02,0.02,0.02,0.02,0.02,0,0,0
vsd.rho_blood,1060,1060,1060,1060,1060,0,0,0
